Channel Id,Channel Url,Channel Title
UCGmrba8gMPnl33Kfoo1IZ1A,http://www.youtube.com/channel/UCGmrba8gMPnl33Kfoo1IZ1A,Extropic
UCe-MO0gWlxT47fHjNKVBRlg,http://www.youtube.com/channel/UCe-MO0gWlxT47fHjNKVBRlg,Oscar Moves
UC64fwl47Wrc6VJcskll7vsA,http://www.youtube.com/channel/UC64fwl47Wrc6VJcskll7vsA,itch.io
UCR8AYtETKgrq95L1usEdvMw,http://www.youtube.com/channel/UCR8AYtETKgrq95L1usEdvMw,Micah
UCGmR6lhKMlCkvrvb39vPtdA,http://www.youtube.com/channel/UCGmR6lhKMlCkvrvb39vPtdA,Steve (Builder.io)
UC7HJmik_-oVb36eZ3ErshkQ,http://www.youtube.com/channel/UC7HJmik_-oVb36eZ3ErshkQ,ALASCA e.V.
UCqC2G2M-rg4fzg1esKFLFIw,http://www.youtube.com/channel/UCqC2G2M-rg4fzg1esKFLFIw,Deno
UCQVaudlZNpkOBpt82HFfsQA,http://www.youtube.com/channel/UCQVaudlZNpkOBpt82HFfsQA,WayWeMove by Zarina del Mar
UC899MXB8_df7O5HzedKBzaA,http://www.youtube.com/channel/UC899MXB8_df7O5HzedKBzaA,Julien Cohen
UCrDwWp7EBBv4NwvScIpBDOA,http://www.youtube.com/channel/UCrDwWp7EBBv4NwvScIpBDOA,Anthropic
UCij1VEjDb88RCbqsvZ1gqaw,http://www.youtube.com/channel/UCij1VEjDb88RCbqsvZ1gqaw,Side Of Burritos
UCLIo-9WnXvQcXfXomQvYSOg,http://www.youtube.com/channel/UCLIo-9WnXvQcXfXomQvYSOg,Eduards Ruzga
UC-qfMIqavKGTyp9E4m3UuVw,http://www.youtube.com/channel/UC-qfMIqavKGTyp9E4m3UuVw,Doopiidoo
UCvkM2esSMJTZVtPo8NVtP4g,http://www.youtube.com/channel/UCvkM2esSMJTZVtPo8NVtP4g,Hynek Schlawack
UCLXo7UDZvByw2ixzpQCufnA,http://www.youtube.com/channel/UCLXo7UDZvByw2ixzpQCufnA,Vox
UCJ3l6hUsHy3B0URWZMwBf4Q,http://www.youtube.com/channel/UCJ3l6hUsHy3B0URWZMwBf4Q,Hochleistungsnerd
UCKGMHVipEvuZudhHD05FOYA,http://www.youtube.com/channel/UCKGMHVipEvuZudhHD05FOYA,Simplicissimus
UCpXfS8bu7ILGCuOtsnJMtxQ,http://www.youtube.com/channel/UCpXfS8bu7ILGCuOtsnJMtxQ,Vivek Haldar
UCqcxAtlPizczJVt8NuQtilA,http://www.youtube.com/channel/UCqcxAtlPizczJVt8NuQtilA,Erik Ahrens
UCHnyfMqiRRG1u-2MsSQLbXA,http://www.youtube.com/channel/UCHnyfMqiRRG1u-2MsSQLbXA,Veritasium
UC0FbLFP7qrdld5XKwlwQaLw,http://www.youtube.com/channel/UC0FbLFP7qrdld5XKwlwQaLw,ParsaTube
UCMUy_WsUIYbM_hKR9drb9dA,http://www.youtube.com/channel/UCMUy_WsUIYbM_hKR9drb9dA,Julia Turc
UCSpaOySWShg5fv_2WNlYS2Q,http://www.youtube.com/channel/UCSpaOySWShg5fv_2WNlYS2Q,Moritz Simon Geist
UCQjBsscIa_mgEnSvWpm_9vw,http://www.youtube.com/channel/UCQjBsscIa_mgEnSvWpm_9vw,Odysseas
UCPBbCmGKB3LX7SCI70HieXQ,http://www.youtube.com/channel/UCPBbCmGKB3LX7SCI70HieXQ,LeanProductivity - Sascha D. Kasper
UC3vIimi9q4AT8EgxYp_dWIw,http://www.youtube.com/channel/UC3vIimi9q4AT8EgxYp_dWIw,NixOS
UCh1zLfuN6F_X4eoNKCsyICA,http://www.youtube.com/channel/UCh1zLfuN6F_X4eoNKCsyICA,Yosh
UCj1VqrHhDte54oLgPG4xpuQ,http://www.youtube.com/channel/UCj1VqrHhDte54oLgPG4xpuQ,Stuff Made Here
UCmOpHGj4JRWCdXhllVTZCVw,http://www.youtube.com/channel/UCmOpHGj4JRWCdXhllVTZCVw,The Code Creative
UCoeUvZfZu-qn7dfrwD4NCtw,http://www.youtube.com/channel/UCoeUvZfZu-qn7dfrwD4NCtw,Steven Gong
UCuGS5mN1_CpPzuOUAu2LluA,http://www.youtube.com/channel/UCuGS5mN1_CpPzuOUAu2LluA,nixhero
UC9kC4zCxE-i-g4GnB3KhWpA,http://www.youtube.com/channel/UC9kC4zCxE-i-g4GnB3KhWpA,Scott Detweiler
UCFzUEe9XUlkDLp6AmtNzmOA,http://www.youtube.com/channel/UCFzUEe9XUlkDLp6AmtNzmOA,IogaMaster
UCGooU472l1UqbUCXR3q1SEQ,http://www.youtube.com/channel/UCGooU472l1UqbUCXR3q1SEQ,arcanfrontend
UCKEk670ECmteGBehmDjVSSg,http://www.youtube.com/channel/UCKEk670ECmteGBehmDjVSSg,Learn Data with Mark
UCR2uRTQ53V_egXKFflMMaaw,http://www.youtube.com/channel/UCR2uRTQ53V_egXKFflMMaaw,Artem Kirsanov
UCUlSAoLd9N2AEeT08wqnpyg,http://www.youtube.com/channel/UCUlSAoLd9N2AEeT08wqnpyg,Nik Lever
UCVGuvJBjMyli7v1ggX6Klqg,http://www.youtube.com/channel/UCVGuvJBjMyli7v1ggX6Klqg,Jake Hamilton
UC0LfPSALkn8YDhXZf8-Pl5A,http://www.youtube.com/channel/UC0LfPSALkn8YDhXZf8-Pl5A,Jascha Quarder
UCzdg4pZb-viC3EdA1zxRl4A,http://www.youtube.com/channel/UCzdg4pZb-viC3EdA1zxRl4A,Hundred Rabbits
UCvjgXvBlbQiydffZU7m1_aw,http://www.youtube.com/channel/UCvjgXvBlbQiydffZU7m1_aw,The Coding Train
UCogSE6uiJyiL31IG-tlxBAw,http://www.youtube.com/channel/UCogSE6uiJyiL31IG-tlxBAw,Jörn Loviscach
UCzgkOWKcwy0uhYilE6bd1Lg,http://www.youtube.com/channel/UCzgkOWKcwy0uhYilE6bd1Lg,Zaiste Programming
UC0BtS97KQR7I4Xqa9VYlkvg,http://www.youtube.com/channel/UC0BtS97KQR7I4Xqa9VYlkvg,the native web GmbH
UCjTfChr0yyz4iZq0x12Q6xA,http://www.youtube.com/channel/UCjTfChr0yyz4iZq0x12Q6xA,Weitz / HAW Hamburg
UCdyI5KK8-BtQizLCDjmSk8A,http://www.youtube.com/channel/UCdyI5KK8-BtQizLCDjmSk8A,MarcUweKling
UCuxhTSKtnMJizinblLs9xOA,http://www.youtube.com/channel/UCuxhTSKtnMJizinblLs9xOA,pixegami
